Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.,Detail
Dokholyan_3,7.903,12.166,0.650,0.840,0.000,0.607,0.000,0.00e+00,21.22,1,->
Feng_1,19.562,31.286,0.625,0.667,0.289,0.634,0.000,6.38e-03,16.86,1,->
Feng_2,20.517,29.231,0.702,0.784,0.000,0.707,0.000,2.50e-02,18.13,1,->
Feng_3,16.042,24.442,0.656,0.680,0.000,0.692,0.000,4.37e-06,18.84,1,->
Feng_4,24.805,51.910,0.478,0.280,-,0.591,0.000,6.64e-01,17.01,1,->
Feng_5,15.969,24.146,0.661,0.784,0.000,0.652,0.000,3.62e-06,0.00,1,->
Lee_1,22.793,40.661,0.561,0.616,0.289,0.558,0.000,2.43e-01,15.88,1,->
Lee_2,21.159,34.275,0.617,0.640,-,0.638,0.000,5.44e-02,15.69,1,->
Lee_3,21.421,49.883,0.429,0.292,0.000,0.516,0.000,7.25e-02,17.96,1,->
Lee_4,22.158,38.097,0.582,0.628,-,0.591,0.000,1.47e-01,15.53,1,->
Lee_5,24.549,42.252,0.581,0.640,-,0.584,0.000,6.10e-01,16.03,1,->
LeeASmodel_1,23.172,42.331,0.547,0.628,0.000,0.558,0.000,3.14e-01,17.48,1,->
LeeASmodel_2,23.498,38.064,0.617,0.640,-,0.639,0.000,3.81e-01,17.91,1,->
LeeASmodel_3,21.425,49.204,0.435,0.298,0.000,0.525,0.000,7.28e-02,19.46,1,->
LeeASmodel_4,18.918,31.896,0.593,0.640,-,0.602,0.000,2.20e-03,17.54,1,->
LeeASmodel_5,18.454,30.696,0.601,0.640,-,0.615,0.000,9.49e-04,16.80,1,->
RNAComposer_1,20.737,30.055,0.690,0.784,0.471,0.666,0.000,3.31e-02,19.61,1,->
RNAComposer_2,21.143,30.191,0.700,0.816,0.471,0.669,0.000,5.35e-02,18.98,1,->
RNAComposer_3,20.619,30.820,0.669,0.667,0.408,0.697,0.000,2.85e-02,19.22,1,->
RNAComposer_4,20.774,29.664,0.700,0.784,0.408,0.689,0.000,3.46e-02,18.61,1,->
RNAComposer_5,15.211,23.841,0.638,0.760,0.408,0.603,0.000,4.60e-07,17.02,1,->
RW3D_1,16.346,24.592,0.665,0.784,0.365,0.640,0.000,9.47e-06,14.11,1,->
RW3D_2,9.820,15.023,0.654,0.784,0.365,0.623,0.000,1.39e-15,13.49,1,->
RW3D_3,12.490,18.461,0.677,0.770,0.408,0.659,0.000,6.85e-11,13.62,1,->
RW3D_4,11.509,16.644,0.691,0.770,0.471,0.676,0.000,1.65e-12,13.56,1,->
RW3D_5,13.362,19.974,0.669,0.770,0.408,0.647,0.000,1.47e-09,15.77,1,->
RW3D_6,10.342,15.535,0.666,0.784,0.289,0.640,0.000,1.34e-14,14.72,1,->
RW3D_7,14.957,21.865,0.684,0.770,0.408,0.671,0.000,2.22e-07,13.21,1,->
RW3D_8,15.707,23.750,0.661,0.770,0.471,0.628,0.000,1.81e-06,15.19,1,->
RW3D_9,17.208,25.385,0.678,0.784,0.471,0.647,0.000,7.28e-05,13.60,1,->
RW3D_10,13.383,19.874,0.673,0.770,0.408,0.654,0.000,1.58e-09,15.20,1,->
YagoubAli_1,19.244,30.196,0.637,0.784,0.408,0.590,0.000,3.83e-03,18.61,1,->
simRNA_1,23.141,45.528,0.508,0.292,0.408,0.622,0.000,3.08e-01,17.08,1,->
simRNA_2,10.277,16.650,0.617,0.706,0.236,0.609,0.000,1.02e-14,13.24,1,->
simRNA_3,24.633,41.976,0.587,0.577,0.289,0.615,0.000,6.28e-01,16.19,1,->
