target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
solution_5iem_rpr.pdb.outCR,11_Adamiak_4_rpr.pdb.outCR,0.488,0.147,0.852,0.750,0.778,0.933,0.750,0.750
solution_5iem_rpr.pdb.outCR,11_Bujnicki_4_rpr.pdb.outCR,0.506,0.000,0.919,0.750,0.944,0.895,0.750,0.750
solution_5iem_rpr.pdb.outCR,11_Bujnicki_5_rpr.pdb.outCR,0.768,0.768,0.778,0.750,0.778,0.778,0.750,0.750
solution_5iem_rpr.pdb.outCR,11_Chen_10_rpr.pdb.outCR,0.847,0.813,0.949,0.750,1.000,0.900,0.750,0.750
solution_5iem_rpr.pdb.outCR,11_Chen_5_rpr.pdb.outCR,0.818,0.787,0.915,0.750,0.889,0.941,0.750,0.750
solution_5iem_rpr.pdb.outCR,11_Chen_1_rpr.pdb.outCR,0.543,0.000,1.000,0.750,1.000,1.000,0.750,0.750
solution_5iem_rpr.pdb.outCR,11_Bujnicki_6_rpr.pdb.outCR,0.455,0.147,0.800,0.671,0.778,0.824,0.750,0.600
solution_5iem_rpr.pdb.outCR,11_Chen_6_rpr.pdb.outCR,0.523,0.000,0.973,0.756,1.000,0.947,1.000,0.571
solution_5iem_rpr.pdb.outCR,11_Chen_2_rpr.pdb.outCR,0.517,0.000,0.944,0.750,0.944,0.944,0.750,0.750
solution_5iem_rpr.pdb.outCR,11_Bujnicki_7_rpr.pdb.outCR,0.430,0.000,0.778,0.671,0.778,0.778,0.750,0.600
solution_5iem_rpr.pdb.outCR,11_Chen_7_rpr.pdb.outCR,0.509,0.000,0.949,0.671,1.000,0.900,0.750,0.600
solution_5iem_rpr.pdb.outCR,11_Chen_3_rpr.pdb.outCR,0.515,0.000,0.943,0.750,0.889,1.000,0.750,0.750
solution_5iem_rpr.pdb.outCR,11_Bujnicki_8_rpr.pdb.outCR,0.430,0.000,0.766,0.756,0.722,0.812,1.000,0.571
solution_5iem_rpr.pdb.outCR,11_Chen_8_rpr.pdb.outCR,0.520,0.000,0.949,0.750,1.000,0.900,0.750,0.750
solution_5iem_rpr.pdb.outCR,11_Chen_4_rpr.pdb.outCR,0.506,0.000,0.919,0.750,0.944,0.895,0.750,0.750
solution_5iem_rpr.pdb.outCR,11_Bujnicki_9_rpr.pdb.outCR,0.545,0.000,0.949,1.000,1.000,0.900,1.000,1.000
solution_5iem_rpr.pdb.outCR,11_Chen_9_rpr.pdb.outCR,0.509,0.000,0.949,0.671,1.000,0.900,0.750,0.600
solution_5iem_rpr.pdb.outCR,11_Das_10_rpr.pdb.outCR,0.545,0.000,0.973,0.894,1.000,0.947,1.000,0.800
solution_5iem_rpr.pdb.outCR,11_Das_5_rpr.pdb.outCR,0.428,0.000,0.825,0.632,0.778,0.875,1.000,0.400
solution_5iem_rpr.pdb.outCR,11_Ding_10_rpr.pdb.outCR,0.424,0.000,0.782,0.671,0.611,1.000,0.750,0.600
solution_5iem_rpr.pdb.outCR,11_Das_1_rpr.pdb.outCR,0.523,0.000,1.000,0.707,1.000,1.000,1.000,0.500
solution_5iem_rpr.pdb.outCR,11_Das_6_rpr.pdb.outCR,0.481,0.000,0.944,0.632,0.944,0.944,1.000,0.400
solution_5iem_rpr.pdb.outCR,11_Ding_1_rpr.pdb.outCR,0.486,0.000,0.852,0.866,0.778,0.933,0.750,1.000
solution_5iem_rpr.pdb.outCR,11_Das_2_rpr.pdb.outCR,0.523,0.000,1.000,0.707,1.000,1.000,1.000,0.500
solution_5iem_rpr.pdb.outCR,11_Das_7_rpr.pdb.outCR,0.467,0.000,0.915,0.632,0.889,0.941,1.000,0.400
solution_5iem_rpr.pdb.outCR,11_Ding_2_rpr.pdb.outCR,0.500,0.000,0.882,0.866,0.778,1.000,0.750,1.000
solution_5iem_rpr.pdb.outCR,11_Das_3_rpr.pdb.outCR,0.534,0.000,0.973,0.816,1.000,0.947,1.000,0.667
solution_5iem_rpr.pdb.outCR,11_Das_8_rpr.pdb.outCR,0.545,0.000,0.973,0.894,1.000,0.947,1.000,0.800
solution_5iem_rpr.pdb.outCR,11_Ding_3_rpr.pdb.outCR,0.514,0.000,0.913,0.866,0.833,1.000,0.750,1.000
solution_5iem_rpr.pdb.outCR,11_Das_4_rpr.pdb.outCR,0.523,0.000,0.973,0.756,1.000,0.947,1.000,0.571
solution_5iem_rpr.pdb.outCR,11_Das_9_rpr.pdb.outCR,0.480,0.000,0.943,0.567,0.889,1.000,0.750,0.429
solution_5iem_rpr.pdb.outCR,11_Ding_4_rpr.pdb.outCR,0.485,0.000,0.850,0.866,0.722,1.000,0.750,1.000
solution_5iem_rpr.pdb.outCR,11_Ding_5_rpr.pdb.outCR,0.454,0.147,0.745,0.866,0.556,1.000,0.750,1.000
solution_5iem_rpr.pdb.outCR,11_Xiao_1_rpr.pdb.outCR,0.446,0.000,0.825,0.707,0.778,0.875,1.000,0.500
solution_5iem_rpr.pdb.outCR,11_Ding_6_rpr.pdb.outCR,0.471,0.000,0.819,0.866,0.722,0.929,0.750,1.000
solution_5iem_rpr.pdb.outCR,11_Xiao_2_rpr.pdb.outCR,0.503,0.000,0.884,0.894,0.833,0.938,1.000,0.800
solution_5iem_rpr.pdb.outCR,11_Ding_7_rpr.pdb.outCR,0.485,0.000,0.850,0.866,0.722,1.000,0.750,1.000
solution_5iem_rpr.pdb.outCR,11_Xiao_3_rpr.pdb.outCR,0.470,0.000,0.915,0.567,0.889,0.941,0.750,0.429
solution_5iem_rpr.pdb.outCR,solution_5iem_rpr.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
solution_5iem_rpr.pdb.outCR,11_Ding_8_rpr.pdb.outCR,0.529,0.147,0.913,0.866,0.833,1.000,0.750,1.000
solution_5iem_rpr.pdb.outCR,11_Ding_9_rpr.pdb.outCR,0.470,0.000,0.816,0.866,0.667,1.000,0.750,1.000
